name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;162;0;162;3043;1777;3043;1369;0
header;159;152;159;184;1779;184;1779;152
A;754;88;754;88;754;88;754;88
A;1030;150;1030;150;1030;150;1030;150
B;623;506;623;527;639;527;639;506
C;705;1279;705;1298;723;1298;723;1279
B;1527;1389;1527;1401;1534;1401;1534;1389
B;1001;1423;1001;1446;1019;1446;1019;1423
A;155;1517;155;1539;172;1539;172;1517
A;1540;1520;1540;1542;1557;1542;1557;1520
A;1396;1922;1396;1922;1396;1922;1396;1922
A;1664;2310;1664;2312;1665;2312;1665;2310
A;1418;2391;1418;2393;1418;2393;1418;2391
A;691;2448;691;2491;704;2491;704;2448
B;525;2449;525;2492;557;2492;557;2449
B;717;2449;717;2492;748;2492;748;2449
A;450;2585;450;2586;453;2586;453;2585
A;756;2592;756;2593;756;2593;756;2592
A;1272;2594;1272;2594;1273;2594;1273;2594
B;649;2617;649;2636;666;2636;666;2617
A;1288;2731;1288;2733;1288;2733;1288;2731
