name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;253;0;459;3051;994;3051;994;0
header;208;133;208;170;1832;170;1832;133
D;546;328;546;363;571;363;571;328
B;698;475;698;491;709;491;709;475
A;356;490;356;494;358;494;358;490
B;315;571;315;589;325;589;325;571
B;720;651;720;677;737;677;737;651
C;501;657;501;678;518;678;518;657
B;678;704;678;723;689;723;689;704
C;391;939;391;958;404;958;404;939
B;935;1491;935;1508;948;1508;948;1491
A;984;1503;984;1515;989;1515;989;1503
B;946;1812;946;1830;960;1830;960;1812
B;662;2590;662;2605;671;2605;671;2590
D;902;2593;902;2607;912;2607;912;2593
A;836;2612;836;2618;842;2618;842;2612
B;882;2629;882;2644;902;2644;902;2629
B;969;2699;969;2728;989;2728;989;2699
A;682;2710;682;2710;682;2710;682;2710
B;944;2769;944;2785;956;2785;956;2769
A;720;2838;720;2857;724;2857;724;2838
